Tuned_Buffer,Capacity,Simulation_run,Buffer1,Buffer2,Buffer3,Buffer4,Buffer5,Throughput
2,20,7,5,20,5,5,5,11.325
2,20,8,5,20,5,5,5,11.15
2,20,9,5,20,5,5,5,11.275
2,20,10,5,20,5,5,5,11.375
3,1,1,5,5,1,5,5,11.25
3,1,2,5,5,1,5,5,11.15
3,1,3,5,5,1,5,5,11.35
3,1,4,5,5,1,5,5,11.3
3,1,5,5,5,1,5,5,11.325
3,1,6,5,5,1,5,5,11.325
3,1,7,5,5,1,5,5,11.025
3,1,8,5,5,1,5,5,11.375
3,1,9,5,5,1,5,5,11.4
3,1,10,5,5,1,5,5,11.275
3,2,1,5,5,2,5,5,11.325
3,2,2,5,5,2,5,5,11.125
3,2,3,5,5,2,5,5,11.225
3,2,4,5,5,2,5,5,11.375
3,2,5,5,5,2,5,5,11.125
3,2,6,5,5,2,5,5,11.425
3,2,7,5,5,2,5,5,11.275
3,2,8,5,5,2,5,5,11.5
3,2,9,5,5,2,5,5,11.5
3,2,10,5,5,2,5,5,11.55
3,3,1,5,5,3,5,5,11.225
3,3,2,5,5,3,5,5,11.325
3,3,3,5,5,3,5,5,11.2
3,3,4,5,5,3,5,5,11.25
3,3,5,5,5,3,5,5,11.15
3,3,6,5,5,3,5,5,11.125
3,3,7,5,5,3,5,5,11.475
3,3,8,5,5,3,5,5,11.325
3,3,9,5,5,3,5,5,11.25
3,3,10,5,5,3,5,5,11.4
3,4,1,5,5,4,5,5,11.325
3,4,2,5,5,4,5,5,11.475
3,4,3,5,5,4,5,5,11.375
3,4,4,5,5,4,5,5,11.225
3,4,5,5,5,4,5,5,11.175
3,4,6,5,5,4,5,5,11.25
3,4,7,5,5,4,5,5,11.275
3,4,8,5,5,4,5,5,11.375
3,4,9,5,5,4,5,5,11.375
3,4,10,5,5,4,5,5,11.125
3,5,1,5,5,5,5,5,11.2
3,5,2,5,5,5,5,5,11.325
3,5,3,5,5,5,5,5,11.525
3,5,4,5,5,5,5,5,11.3
3,5,5,5,5,5,5,5,11.075
3,5,6,5,5,5,5,5,11.375
3,5,7,5,5,5,5,5,11.325
3,5,8,5,5,5,5,5,11.325
3,5,9,5,5,5,5,5,11.35
3,5,10,5,5,5,5,5,11.45
3,6,1,5,5,6,5,5,11.375
